ticker,name,date,period,market,market_cap,free_float_market_cap,shares_outstanding,capital_stock,source_price_date,close_price,source_date,available_date,source_url,source_route,source_type,formal_exact,derivation,raw_source_path
1256,F-鮮活,2015-01-05,2015-01-05,TPEx,5334336000,,24696000,,2015-01-05,216.0000,2015-01-05,2015-01-05,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2015/01/05&response=json,tpex_dailyQuotes/close_and_issued_shares,shares_derived_official_daily_candidate,false,official same-day close * official same-day issued shares,raw_sources\tpex_dailyQuotes_2015-01-05.json
1258,F-其祥,2015-01-05,2015-01-05,TPEx,843200000,,34000000,,2015-01-05,24.8000,2015-01-05,2015-01-05,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2015/01/05&response=json,tpex_dailyQuotes/close_and_issued_shares,shares_derived_official_daily_candidate,false,official same-day close * official same-day issued shares,raw_sources\tpex_dailyQuotes_2015-01-05.json
1259,安心,2015-01-05,2015-01-05,TPEx,2393584050,,32389500,,2015-01-05,73.9000,2015-01-05,2015-01-05,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2015/01/05&response=json,tpex_dailyQuotes/close_and_issued_shares,shares_derived_official_daily_candidate,false,official same-day close * official same-day issued shares,raw_sources\tpex_dailyQuotes_2015-01-05.json
1333,恩得利,2015-01-05,2015-01-05,TPEx,970917669,,102525625,,2015-01-05,9.4700,2015-01-05,2015-01-05,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2015/01/05&response=json,tpex_dailyQuotes/close_and_issued_shares,shares_derived_official_daily_candidate,false,official same-day close * official same-day issued shares,raw_sources\tpex_dailyQuotes_2015-01-05.json
1336,台翰,2015-01-05,2015-01-05,TPEx,900508850,,62753230,,2015-01-05,14.3500,2015-01-05,2015-01-05,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2015/01/05&response=json,tpex_dailyQuotes/close_and_issued_shares,shares_derived_official_daily_candidate,false,official same-day close * official same-day issued shares,raw_sources\tpex_dailyQuotes_2015-01-05.json
1565,精華,2015-01-05,2015-01-05,TPEx,26317421352,,50416516,,2015-01-05,522.0000,2015-01-05,2015-01-05,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2015/01/05&response=json,tpex_dailyQuotes/close_and_issued_shares,shares_derived_official_daily_candidate,false,official same-day close * official same-day issued shares,raw_sources\tpex_dailyQuotes_2015-01-05.json
1566,捷邦,2015-01-05,2015-01-05,TPEx,1141074616,,51867028,,2015-01-05,22.0000,2015-01-05,2015-01-05,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2015/01/05&response=json,tpex_dailyQuotes/close_and_issued_shares,shares_derived_official_daily_candidate,false,official same-day close * official same-day issued shares,raw_sources\tpex_dailyQuotes_2015-01-05.json
1569,濱川,2015-01-05,2015-01-05,TPEx,1813939729,,83784745,,2015-01-05,21.6500,2015-01-05,2015-01-05,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2015/01/05&response=json,tpex_dailyQuotes/close_and_issued_shares,shares_derived_official_daily_candidate,false,official same-day close * official same-day issued shares,raw_sources\tpex_dailyQuotes_2015-01-05.json
1570,力肯,2015-01-05,2015-01-05,TPEx,764787459,,51500839,,2015-01-05,14.8500,2015-01-05,2015-01-05,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2015/01/05&response=json,tpex_dailyQuotes/close_and_issued_shares,shares_derived_official_daily_candidate,false,official same-day close * official same-day issued shares,raw_sources\tpex_dailyQuotes_2015-01-05.json
1580,新麥,2015-01-05,2015-01-05,TPEx,9111576320,,47580033,,2015-01-05,191.5000,2015-01-05,2015-01-05,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2015/01/05&response=json,tpex_dailyQuotes/close_and_issued_shares,shares_derived_official_daily_candidate,false,official same-day close * official same-day issued shares,raw_sources\tpex_dailyQuotes_2015-01-05.json
1584,精剛,2015-01-05,2015-01-05,TPEx,1200258183,,103470533,,2015-01-05,11.6000,2015-01-05,2015-01-05,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2015/01/05&response=json,tpex_dailyQuotes/close_and_issued_shares,shares_derived_official_daily_candidate,false,official same-day close * official same-day issued shares,raw_sources\tpex_dailyQuotes_2015-01-05.json
1586,和勤,2015-01-05,2015-01-05,TPEx,1485588245,,46643273,,2015-01-05,31.8500,2015-01-05,2015-01-05,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2015/01/05&response=json,tpex_dailyQuotes/close_and_issued_shares,shares_derived_official_daily_candidate,false,official same-day close * official same-day issued shares,raw_sources\tpex_dailyQuotes_2015-01-05.json
1591,F-駿吉,2015-01-05,2015-01-05,TPEx,1109082864,,26919487,,2015-01-05,41.2000,2015-01-05,2015-01-05,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2015/01/05&response=json,tpex_dailyQuotes/close_and_issued_shares,shares_derived_official_daily_candidate,false,official same-day close * official same-day issued shares,raw_sources\tpex_dailyQuotes_2015-01-05.json
1593,祺驊,2015-01-05,2015-01-05,TPEx,1207892472,,27640560,,2015-01-05,43.7000,2015-01-05,2015-01-05,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2015/01/05&response=json,tpex_dailyQuotes/close_and_issued_shares,shares_derived_official_daily_candidate,false,official same-day close * official same-day issued shares,raw_sources\tpex_dailyQuotes_2015-01-05.json
1595,川寶,2015-01-05,2015-01-05,TPEx,3230401908,,38687448,,2015-01-05,83.5000,2015-01-05,2015-01-05,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2015/01/05&response=json,tpex_dailyQuotes/close_and_issued_shares,shares_derived_official_daily_candidate,false,official same-day close * official same-day issued shares,raw_sources\tpex_dailyQuotes_2015-01-05.json
